"Transcript_ID","Locus_ID","Description","RAP.DB.Gene.Symbol.Synonym.s.","RAP.DB.Gene.Name.Synonym.s.","CGSNL.Gene.Symbol","CGSNL.Gene.Name","Oryzabase.Gene.Symbol.Synonym.s.","Oryzabase.Gene.Name.Synonym.s.","GO","InterPro","Transcript.evidence","ORF.evidence","Curation.Date","Literature.PMID","FLcDNA.clone.ID","Oryzabase.Trait.Gene.ID","A.thaliana_gene_id","Reciprocal_flag","Type","Short_description","Curator_summary","Computational_description","gene.alias","Note","symbol","Alias","full_name","computational_description","Dbxref","locus_type","curator_summary","description","nochangenat.description","NormalizationGroup","padj","log2FoldChange"
"LOC_Osp1g00410.1","LOC_Osp1g00410","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00480.1","2","protein_coding","ATP synthase subunit beta","chloroplast-encoded gene for beta subunit of ATP synthase","""ATP synthase subunit beta (PB); FUNCTIONS IN: hydrogen ion transmembrane transporter activity, zinc ion binding; INVOLVED IN: defense response to fungus, incompatible interaction, response to cold, ATP synthesis coupled proton transport; LOCATED IN: in 11 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: ATPase, F1/V1/A1 complex, alpha/beta subunit, C-terminal (InterPro:IPR000793), ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal (InterPro:IPR004100), ATPase, F1 complex, beta subunit (InterPro:IPR005722), ATPase, alpha/beta subunit, nucleotide-binding domain, active site (InterPro:IPR020003), ATPase, F1/A1 complex, alpha/beta subunit, N-terminal (InterPro:IPR018118), ATPase, AAA+ type, core (InterPro:IPR003593), ATPase, alpha/beta subunit, nucleotide-binding domain (InterPro:IPR000194); BEST Arabidopsis thaliana protein match is: ATP synthase alpha/beta family protein (TAIR:AT5G08670.1).""","""AthCF1beta,ATPB,CF1beta,PB""","ATP synthase subunit beta","PB","""ATPB,ATP synthase subunit beta""","ATP synthase subunit beta","ATP synthase subunit beta (PB)%3B FUNCTIONS IN: hydrogen ion transmembrane transporter activity%2C zinc ion binding%3B INVOLVED IN: defense response to fungus%2C incompatible interaction%2C response to cold%2C ATP synthesis coupled proton transport%3B LOCATED IN: in 11 components%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: ATPase%2C F1/V1/A1 complex%2C alpha/beta subunit%2C C-terminal (InterPro:IPR000793)%2C ATPase%2C F1/V1/A1 complex%2C alpha/beta subunit%2C N-terminal (InterPro:IPR004100)%2C ATPase%2C F1 complex%2C beta subunit (InterPro:IPR005722)%2C ATPase%2C alpha/beta subunit%2C nucleotide-binding domain%2C active site (InterPro:IPR020003)%2C ATPase%2C F1/A1 complex%2C alpha/beta subunit%2C N-terminal (InterPro:IPR018118)%2C ATPase%2C AAA+ type%2C core (InterPro:IPR003593)%2C ATPase%2C alpha/beta subunit%2C nucleotide-binding domain (InterPro:IPR000194)%3B BEST Arabidopsis thaliana protein match is: ATP synthase alpha/beta family protein (TAIR:AT5G08670.1).","""PMID:10586878,PMID:9193094,PMID:2544575,PMID:15322131,PMID:16414959,PMID:16461379,PMID:16923014,PMID:17118361,PMID:17333279,PMID:18650403,PMID:19309454,PMID:19376835,PMID:19857612,PMID:20018591,PMID:20118269,PMID:22995300,PMID:23076438,PMID:23281391,locus:504954671""","protein_coding","chloroplast-encoded gene for beta subunit of ATP synthase","-","-","data",0.0186597836383851,1.83557342073944
"LOC_Osp1g00440.1","LOC_Osp1g00440","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00500.1","2","protein_coding","acetyl-CoA carboxylase carboxyl transferase subunit beta","""Encodes the carboxytransferase beta subunit of the Acetyl-CoA carboxylase (ACCase) complex in plastids. This complex catalyzes the carboxylation of acetyl-CoA to produce malonyl-CoA, the first committed step in fatty acid synthesis.""","""acetyl-CoA carboxylase carboxyl transferase subunit beta (ACCD); FUNCTIONS IN: protein binding, acetyl-CoA carboxylase activity; INVOLVED IN: fatty acid biosynthetic process; LOCATED IN: chloroplast, acetate CoA-transferase complex, membrane, chloroplast envelope; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Acetyl-coenzyme A carboxyltransferase, N-terminal (InterPro:IPR011762), Carboxyl transferase (InterPro:IPR000022), Acetyl-CoA carboxylase carboxyl transferase, beta subunit (InterPro:IPR000438).""","ACCD","acetyl-CoA carboxylase carboxyl transferase subunit beta","ACCD","-","acetyl-CoA carboxylase carboxyl transferase subunit beta","acetyl-CoA carboxylase carboxyl transferase subunit beta (ACCD)%3B FUNCTIONS IN: protein binding%2C acetyl-CoA carboxylase activity%3B INVOLVED IN: fatty acid biosynthetic process%3B LOCATED IN: chloroplast%2C acetate CoA-transferase complex%2C membrane%2C chloroplast envelope%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Acetyl-coenzyme A carboxyltransferase%2C N-terminal (InterPro:IPR011762)%2C Carboxyl transferase (InterPro:IPR000022)%2C Acetyl-CoA carboxylase carboxyl transferase%2C beta subunit (InterPro:IPR000438).","""PMID:16698900,PMID:17333279,PMID:17726051,PMID:17885088,PMID:18616834,PMID:18689444,PMID:19395655,PMID:19500301,PMID:20143129,PMID:21294841,PMID:23505340,PMID:23803517,PMID:24144791,PMID:25480370,locus:504954673""","protein_coding","Encodes the carboxytransferase beta subunit of the Acetyl-CoA carboxylase (ACCase) complex in plastids. This complex catalyzes the carboxylation of acetyl-CoA to produce malonyl-CoA%2C the first committed step in fatty acid synthesis.","-","-","data",0.0354592853790104,3.40106434796471
"LOC_Osp1g00460.1","LOC_Osp1g00460","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00520.1","2","protein_coding","unfolded protein binding","""Encodes a protein required for photosystem I assembly and stability. In cyanobacteria, loss of function mutation in this gene increases PSII/PSI ratio without any influence on photoautotrophic growth.""","YCF4; FUNCTIONS IN: unfolded protein binding; INVOLVED IN: photosystem I assembly; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem I assembly protein Ycf4 (InterPro:IPR003359).","YCF4","unfolded protein binding protein","YCF4","-","-","YCF4%3B FUNCTIONS IN: unfolded protein binding%3B INVOLVED IN: photosystem I assembly%3B LOCATED IN: chloroplast%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Photosystem I assembly protein Ycf4 (InterPro:IPR003359).","""PMID:10574454,PMID:14645254,PMID:17873090,PMID:18650403,locus:504954675""","protein_coding","Encodes a protein required for photosystem I assembly and stability. In cyanobacteria%2C loss of function mutation in this gene increases PSII/PSI ratio without any influence on photoautotrophic growth.","-","-","data",0.0220054218814801,1.4856330977328
"LOC_Osp1g00470.1","LOC_Osp1g00470","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00530.1","2","protein_coding","CemA-like proton extrusion protein-related","NULL","""YCF10; LOCATED IN: endomembrane system, integral to membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: CemA (InterPro:IPR004282); BEST Arabidopsis thaliana protein match is: CemA-like proton extrusion protein-related (TAIR:AT4G31040.1).""","YCF10","CemA-like proton extrusion protein-like protein","YCF10","-","-","YCF10%3B LOCATED IN: endomembrane system%2C integral to membrane%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: CemA (InterPro:IPR004282)%3B BEST Arabidopsis thaliana protein match is: CemA-like proton extrusion protein-related (TAIR:AT4G31040.1).","""PMID:14729914,PMID:17297557,PMID:18650403,locus:504954676""","protein_coding","-","-","-","data",0.0112441199390107,2.11365293195044
"LOC_Osp1g00480.1","LOC_Osp1g00480","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00540.1","2","protein_coding","photosynthetic electron transfer A","Encodes cytochrome f apoprotein; involved in photosynthetic electron transport chain; encoded by the chloroplast genome and is transcriptionally repressed by a nuclear gene HCF2.","""photosynthetic electron transfer A (PETA); FUNCTIONS IN: electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity; INVOLVED IN: photosynthetic electron transport in cytochrome b6/f; LOCATED IN: thylakoid, chloroplast thylakoid membrane, cytochrome b6f complex, chloroplast, membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Cytochrome f (InterPro:IPR002325), Rudiment single hybrid motif (InterPro:IPR011054).""","PETA","photosynthetic electron transfer A","PETA","-","photosynthetic electron transfer A","photosynthetic electron transfer A (PETA)%3B FUNCTIONS IN: electron transporter%2C transferring electrons within cytochrome b6/f complex of photosystem II activity%3B INVOLVED IN: photosynthetic electron transport in cytochrome b6/f%3B LOCATED IN: thylakoid%2C chloroplast thylakoid membrane%2C cytochrome b6f complex%2C chloroplast%2C membrane%3B EXPRESSED IN: 25 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Cytochrome f (InterPro:IPR002325)%2C Rudiment single hybrid motif (InterPro:IPR011054).","""PMID:7923416,PMID:12782738,PMID:14729914,PMID:15322131,PMID:17432890,PMID:18431481,PMID:18650403,PMID:18633119,locus:504954677""","protein_coding","Encodes cytochrome f apoprotein%3B involved in photosynthetic electron transport chain%3B encoded by the chloroplast genome and is transcriptionally repressed by a nuclear gene HCF2.","-","-","data",0.000162772222252978,3.88351210456434
"LOC_Osp1g00490.1","LOC_Osp1g00490","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00550.1","2","protein_coding","photosystem II reaction center protein J","PSII component","""photosystem II reaction center protein J (PSBJ); INVOLVED IN: photosynthesis; LOCATED IN: endomembrane system, photosystem II reaction center, membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbJ (InterPro:IPR002682).""","PSBJ","photosystem II reaction center protein J","PSBJ","-","photosystem II reaction center protein J","photosystem II reaction center protein J (PSBJ)%3B INVOLVED IN: photosynthesis%3B LOCATED IN: endomembrane system%2C photosystem II reaction center%2C membrane%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbJ (InterPro:IPR002682).","""PMID:16282331,locus:504954678""","protein_coding","PSII component","-","-","data",0.0111178680247657,2.17280101311257
"LOC_Osp1g00500.1","LOC_Osp1g00500","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00560.1","2","protein_coding","photosystem II reaction center protein L","PSII L protein","""photosystem II reaction center protein L (PSBL); INVOLVED IN: photosynthesis; LOCATED IN: thylakoid, chloroplast thylakoid membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbL (InterPro:IPR003372).""","PSBL","photosystem II reaction center protein L","PSBL","-","photosystem II reaction center protein L","photosystem II reaction center protein L (PSBL)%3B INVOLVED IN: photosynthesis%3B LOCATED IN: thylakoid%2C chloroplast thylakoid membrane%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Photosystem II protein PsbL (InterPro:IPR003372).","""PMID:14729914,PMID:15322131,PMID:22616989,locus:504954679""","protein_coding","PSII L protein","-","-","data",0.0222443164696932,2.08188388784904
"LOC_Osp1g00510.1","LOC_Osp1g00510","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00570.1","2","protein_coding","photosystem II reaction center protein F","PSII cytochrome b559","""photosystem II reaction center protein F (PSBF); FUNCTIONS IN: heme binding, metal ion binding; INVOLVED IN: photosynthetic electron transport chain, photosynthesis, light reaction, photosynthesis; LOCATED IN: chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein cytochrome b559, N-terminal (InterPro:IPR013081), Photosystem II protein cytochrome b559, beta subunit (InterPro:IPR006241), Photosystem II protein cytochrome b559, conserved site (InterPro:IPR006216).""","PSBF","photosystem II reaction center protein F","PSBF","-","photosystem II reaction center protein F","photosystem II reaction center protein F (PSBF)%3B FUNCTIONS IN: heme binding%2C metal ion binding%3B INVOLVED IN: photosynthetic electron transport chain%2C photosynthesis%2C light reaction%2C photosynthesis%3B LOCATED IN: chloroplast thylakoid membrane%2C chloroplast%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Photosystem II protein cytochrome b559%2C N-terminal (InterPro:IPR013081)%2C Photosystem II protein cytochrome b559%2C beta subunit (InterPro:IPR006241)%2C Photosystem II protein cytochrome b559%2C conserved site (InterPro:IPR006216).","""PMID:14729914,PMID:17726051,PMID:18650403,PMID:19448041,PMID:21282060,locus:504954680""","protein_coding","PSII cytochrome b559","-","-","data",0.0343851036688208,2.01589675113003
"LOC_Osp1g00520.1","LOC_Osp1g00520","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00580.1","2","protein_coding","photosystem II reaction center protein E","""PSII cytochrome b559. There have been many speculations about the function of Cyt b559, but the most favored at present is that it plays a protective role by acting as an electron acceptor or electron donor under conditions when electron flow through PSII is not optimized.""","""photosystem II reaction center protein E (PSBE); FUNCTIONS IN: electron carrier activity, heme binding; INVOLVED IN: photosynthesis, light harvesting in photosystem II; LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast, oxygen evolving complex, membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II protein cytochrome b559, N-terminal (InterPro:IPR013081), Photosystem II protein cytochrome b559, conserved site (InterPro:IPR006216), Photosystem II protein cytochrome b559, alpha subunit, lumenal region (InterPro:IPR013082), Photosystem II protein cytochrome b559, alpha subunit (InterPro:IPR006217).""","PSBE","photosystem II reaction center protein E","PSBE","-","photosystem II reaction center protein E","photosystem II reaction center protein E (PSBE)%3B FUNCTIONS IN: electron carrier activity%2C heme binding%3B INVOLVED IN: photosynthesis%2C light harvesting in photosystem II%3B LOCATED IN: thylakoid%2C chloroplast thylakoid membrane%2C chloroplast%2C oxygen evolving complex%2C membrane%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Photosystem II protein cytochrome b559%2C N-terminal (InterPro:IPR013081)%2C Photosystem II protein cytochrome b559%2C conserved site (InterPro:IPR006216)%2C Photosystem II protein cytochrome b559%2C alpha subunit%2C lumenal region (InterPro:IPR013082)%2C Photosystem II protein cytochrome b559%2C alpha subunit (InterPro:IPR006217).","""PMID:11532164,PMID:14729914,PMID:15322131,PMID:17432890,PMID:17726051,PMID:18633119,PMID:24025801,locus:504954681""","protein_coding","PSII cytochrome b559. There have been many speculations about the function of Cyt b559%2C but the most favored at present is that it plays a protective role by acting as an electron acceptor or electron donor under conditions when electron flow through PSII is not optimized.","-","-","data",0.0460501051363196,1.53149637798344
"LOC_Osp1g00550.1","LOC_Osp1g00550","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00630.1","2","protein_coding","PSAJ","Encodes subunit J of photosystem I.","""PSAJ; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: oxidation reduction; LOCATED IN: chloroplast thylakoid membrane, photosystem I reaction center; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Cytochrome c oxidase subunit VIII/photosystem I reaction centre subunit IX (InterPro:IPR016070), Photosystem I reaction centre, subunit IX / PsaJ (InterPro:IPR002615).""","PSAJ","PSAJ","PSAJ","-","-","PSAJ%3B FUNCTIONS IN: molecular_function unknown%3B INVOLVED IN: oxidation reduction%3B LOCATED IN: chloroplast thylakoid membrane%2C photosystem I reaction center%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Cytochrome c oxidase subunit VIII/photosystem I reaction centre subunit IX (InterPro:IPR016070)%2C Photosystem I reaction centre%2C subunit IX / PsaJ (InterPro:IPR002615).","""PMID:14729914,PMID:16507087,PMID:18650403,locus:504954686""","protein_coding","Encodes subunit J of photosystem I.","-","-","data",0.00599072767291704,2.04770287480398
"LOC_Osp1g00560.1","LOC_Osp1g00560","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00640.1","2","protein_coding","ribosomal protein L33","""encodes a chloroplast ribosomal protein L33, a constituent of the large subunit of the ribosomal complex""","""ribosomal protein L33 (RPL33); FUNCTIONS IN: structural constituent of ribosome; INVOLVED IN: translation; LOCATED IN: plastid large ribosomal subunit, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ribosomal protein L33 (InterPro:IPR001705), Ribosomal protein L33, conserved site (InterPro:IPR018264).""","RPL33","ribosomal protein L33","RPL33","-","ribosomal protein L33","ribosomal protein L33 (RPL33)%3B FUNCTIONS IN: structural constituent of ribosome%3B INVOLVED IN: translation%3B LOCATED IN: plastid large ribosomal subunit%2C chloroplast%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Ribosomal protein L33 (InterPro:IPR001705)%2C Ribosomal protein L33%2C conserved site (InterPro:IPR018264).","""PMID:18650403,locus:504954687""","protein_coding","encodes a chloroplast ribosomal protein L33%2C a constituent of the large subunit of the ribosomal complex","-","-","data",0.00517746959057498,3.04653860221585
"LOC_Osp1g00570.1","LOC_Osp1g00570","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00650.1","2","protein_coding","ribosomal protein S18","chloroplast-encoded ribosomal protein S18","""ribosomal protein S18 (RPS18); FUNCTIONS IN: structural constituent of ribosome; INVOLVED IN: translation; LOCATED IN: plastid small ribosomal subunit, chloroplast, chloroplast stroma, chloroplast envelope; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ribosomal protein S18, conserved site (InterPro:IPR018275), Ribosomal protein S18 (InterPro:IPR001648).""","RPS18","ribosomal protein S18","RPS18","-","ribosomal protein S18","ribosomal protein S18 (RPS18)%3B FUNCTIONS IN: structural constituent of ribosome%3B INVOLVED IN: translation%3B LOCATED IN: plastid small ribosomal subunit%2C chloroplast%2C chloroplast stroma%2C chloroplast envelope%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Ribosomal protein S18%2C conserved site (InterPro:IPR018275)%2C Ribosomal protein S18 (InterPro:IPR001648).","""PMID:18650403,PMID:21851639,PMID:23523919,locus:504954688""","protein_coding","chloroplast-encoded ribosomal protein S18","-","-","data",0.00860751316360862,2.8999804621595
"LOC_Osp1g00580.1","LOC_Osp1g00580","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00660.1","2","protein_coding","ribosomal protein L20","""encodes a chloroplast ribosomal protein L20, a constituent of the large subunit of the ribosomal complex""","""ribosomal protein L20 (RPL20); FUNCTIONS IN: structural constituent of ribosome; INVOLVED IN: translation; LOCATED IN: plastid large ribosomal subunit, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ribosomal protein L20 (InterPro:IPR005813); BEST Arabidopsis thaliana protein match is: Ribosomal protein L20 (TAIR:AT1G16740.1).""","RPL20","ribosomal protein L20","RPL20","-","ribosomal protein L20","ribosomal protein L20 (RPL20)%3B FUNCTIONS IN: structural constituent of ribosome%3B INVOLVED IN: translation%3B LOCATED IN: plastid large ribosomal subunit%2C chloroplast%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Ribosomal protein L20 (InterPro:IPR005813)%3B BEST Arabidopsis thaliana protein match is: Ribosomal protein L20 (TAIR:AT1G16740.1).","locus:504954689","protein_coding","encodes a chloroplast ribosomal protein L20%2C a constituent of the large subunit of the ribosomal complex","-","-","data",0.00673513412629236,1.92826994855406
"LOC_Osp1g00600.1","LOC_Osp1g00600","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00680.1","2","protein_coding","photosystem II reaction center protein B","""encodes for CP47, subunit of the photosystem II reaction center.""","""photosystem II reaction center protein B (PSBB); FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, light reaction, photosystem II assembly; LOCATED IN: in 6 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem antenna protein-like (InterPro:IPR000932), Photosystem II, PsbB (InterPro:IPR017486); BEST Arabidopsis thaliana protein match is: photosystem II reaction center protein C (TAIR:ATCG00280.1).""","PSBB","photosystem II reaction center protein B","PSBB","-","photosystem II reaction center protein B","photosystem II reaction center protein B (PSBB)%3B FUNCTIONS IN: chlorophyll binding%3B INVOLVED IN: photosynthesis%2C light reaction%2C photosystem II assembly%3B LOCATED IN: in 6 components%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Photosystem antenna protein-like (InterPro:IPR000932)%2C Photosystem II%2C PsbB (InterPro:IPR017486)%3B BEST Arabidopsis thaliana protein match is: photosystem II reaction center protein C (TAIR:ATCG00280.1).","""PMID:9112766,PMID:8768377,PMID:11549768,PMID:12782738,PMID:14519118,PMID:14729914,PMID:15322131,PMID:15918885,PMID:16461379,PMID:17175536,PMID:17435084,PMID:18650403,PMID:23281391,PMID:24025801,PMID:25081859,locus:504954691""","protein_coding","encodes for CP47%2C subunit of the photosystem II reaction center.","-","-","data",0.0404065023761107,1.36201306814423
"LOC_Osp1g00620.1","LOC_Osp1g00620","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00710.1","2","protein_coding","photosystem II reaction center protein H","""Encodes a 8 kD phosphoprotein that is a component of the photosystem II oxygen evolving core. Its exact molecular function has not been determined but it may play a role in mediating electron transfer between the secondary quinone acceptors, QA and QB, associated with the acceptor side of PSII.""","""photosystem II reaction center protein H (PSBH); FUNCTIONS IN: phosphate binding; INVOLVED IN: photosynthesis, light harvesting in photosystem II; LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast, oxygen evolving complex, membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem II phosphoprotein PsbH (InterPro:IPR001056).""","PSBH","photosystem II reaction center protein H","PSBH","-","photosystem II reaction center protein H","photosystem II reaction center protein H (PSBH)%3B FUNCTIONS IN: phosphate binding%3B INVOLVED IN: photosynthesis%2C light harvesting in photosystem II%3B LOCATED IN: thylakoid%2C chloroplast thylakoid membrane%2C chloroplast%2C oxygen evolving complex%2C membrane%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Photosystem II phosphoprotein PsbH (InterPro:IPR001056).","""PMID:9112766,PMID:8768377,PMID:11113141,PMID:11549768,PMID:12782738,PMID:14519118,PMID:15322131,PMID:15918885,PMID:18650403,PMID:20028840,PMID:22325874,PMID:22616989,PMID:25081859,locus:504954694""","protein_coding","Encodes a 8 kD phosphoprotein that is a component of the photosystem II oxygen evolving core. Its exact molecular function has not been determined but it may play a role in mediating electron transfer between the secondary quinone acceptors%2C QA and QB%2C associated with the acceptor side of PSII.","-","-","data",0.0142010662654233,1.67316912382528
"LOC_Osp1g00640.1","LOC_Osp1g00640","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00720.1","2","protein_coding","photosynthetic electron transfer B","Encodes the cytochrome b(6) subunit of the cytochrome b6f complex.","""photosynthetic electron transfer B (PETB); FUNCTIONS IN: heme binding; INVOLVED IN: photosynthesis, light reaction; LOCATED IN: thylakoid, chloroplast thylakoid membrane, cytochrome b6f complex, chloroplast, membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Cytochrome b/b6 (InterPro:IPR016175), Di-haem cytochrome, transmembrane (InterPro:IPR016174), Cytochrome b/b6, N-terminal (InterPro:IPR005797); BEST Arabidopsis thaliana protein match is: apocytochrome b (TAIR:ATMG00220.1).""","PETB","photosynthetic electron transfer B","PETB","-","photosynthetic electron transfer B","photosynthetic electron transfer B (PETB)%3B FUNCTIONS IN: heme binding%3B INVOLVED IN: photosynthesis%2C light reaction%3B LOCATED IN: thylakoid%2C chloroplast thylakoid membrane%2C cytochrome b6f complex%2C chloroplast%2C membrane%3B EXPRESSED IN: 25 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Cytochrome b/b6 (InterPro:IPR016175)%2C Di-haem cytochrome%2C transmembrane (InterPro:IPR016174)%2C Cytochrome b/b6%2C N-terminal (InterPro:IPR005797)%3B BEST Arabidopsis thaliana protein match is: apocytochrome b (TAIR:ATMG00220.1).","""PMID:9112766,PMID:8768377,PMID:11549768,PMID:12782738,PMID:14519118,PMID:15032878,PMID:15322131,PMID:15918885,PMID:18593701,PMID:18650403,PMID:21771930,locus:504954695""","protein_coding","Encodes the cytochrome b(6) subunit of the cytochrome b6f complex.","-","-","data",0.0112441199390107,1.87942466253965
"LOC_Osp1g00660.1","LOC_Osp1g00660","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","ATCG00740.1","2","protein_coding","RNA polymerase subunit alpha","RNA polymerase alpha subunit","""RNA polymerase subunit alpha (RPOA); FUNCTIONS IN: DNA-directed RNA polymerase activity; INVOLVED IN: RNA elongation; LOCATED IN: chloroplast, nucleoid; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: DNA-directed RNA polymerase, insert domain (InterPro:IPR011262), DNA-directed RNA polymerase, alpha subunit (InterPro:IPR011773), RNA polymerase, alpha subunit, C-terminal (InterPro:IPR011260), DNA-directed RNA polymerase, dimerisation (InterPro:IPR011261), DNA-directed RNA polymerase, RpoA/D/Rpb3-type (InterPro:IPR011263), DNA-directed RNA polymerase, RBP11-like (InterPro:IPR009025).""","RPOA","RNA polymerase subunit alpha","RPOA","-","RNA polymerase subunit alpha","RNA polymerase subunit alpha (RPOA)%3B FUNCTIONS IN: DNA-directed RNA polymerase activity%3B INVOLVED IN: RNA elongation%3B LOCATED IN: chloroplast%2C nucleoid%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: DNA-directed RNA polymerase%2C insert domain (InterPro:IPR011262)%2C DNA-directed RNA polymerase%2C alpha subunit (InterPro:IPR011773)%2C RNA polymerase%2C alpha subunit%2C C-terminal (InterPro:IPR011260)%2C DNA-directed RNA polymerase%2C dimerisation (InterPro:IPR011261)%2C DNA-directed RNA polymerase%2C RpoA/D/Rpb3-type (InterPro:IPR011263)%2C DNA-directed RNA polymerase%2C RBP11-like (InterPro:IPR009025).","""PMID:10574454,PMID:15829605,PMID:17726051,PMID:18650403,PMID:18657233,PMID:21949211,PMID:22380942,locus:504954697""","protein_coding","RNA polymerase alpha subunit","-","-","data",0.00719246750744198,1.98185915330227
